,bank_account,uniqueid
974,False,uniqueid7043
975,False,uniqueid7044
976,False,uniqueid7045
977,False,uniqueid7046
978,False,uniqueid7047
979,True,uniqueid7048
980,False,uniqueid7049
981,False,uniqueid7050
982,False,uniqueid7051
983,False,uniqueid7052
984,False,uniqueid7053
985,False,uniqueid7054
986,False,uniqueid7055
987,False,uniqueid7056
988,True,uniqueid7057
989,False,uniqueid7058
990,False,uniqueid7059
991,False,uniqueid7060
992,False,uniqueid7061
993,False,uniqueid7062
994,False,uniqueid7063
995,True,uniqueid7064
996,False,uniqueid7065
997,False,uniqueid7066
998,False,uniqueid7067
999,False,uniqueid7068
1000,False,uniqueid7069
1001,False,uniqueid7070
1002,False,uniqueid7071
1003,False,uniqueid7072
1004,False,uniqueid7073
1005,True,uniqueid7074
1006,False,uniqueid7075
1007,False,uniqueid7076
1008,True,uniqueid7077
1009,False,uniqueid7078
1010,False,uniqueid7079
1011,False,uniqueid7080
1012,True,uniqueid7081
1013,False,uniqueid7082
1014,False,uniqueid7083
1015,False,uniqueid7084
1016,False,uniqueid7085
1017,True,uniqueid7086
1018,True,uniqueid7087
1019,False,uniqueid7088
1020,False,uniqueid7089
1021,False,uniqueid7090
1022,False,uniqueid7091
1023,True,uniqueid7092
1024,False,uniqueid7093
1025,False,uniqueid7094
1026,False,uniqueid7095
1027,False,uniqueid7096
1028,True,uniqueid7097
1029,False,uniqueid7098
1030,True,uniqueid7099
1031,True,uniqueid7100
1032,False,uniqueid7101
1033,False,uniqueid7102
1034,False,uniqueid7103
1035,True,uniqueid7104
1036,True,uniqueid7105
1037,False,uniqueid7106
1038,False,uniqueid7107
1039,False,uniqueid7108
1040,False,uniqueid7109
1041,False,uniqueid7110
1042,True,uniqueid7111
1043,False,uniqueid7112
1044,False,uniqueid7113
1045,True,uniqueid7114
1046,False,uniqueid7115
1047,False,uniqueid7116
1048,False,uniqueid7117
1049,False,uniqueid7118
1050,False,uniqueid7119
1051,False,uniqueid7120
1052,False,uniqueid7121
1053,False,uniqueid7122
1054,False,uniqueid7123
1055,False,uniqueid7124
1056,False,uniqueid7125
1057,True,uniqueid7126
1058,True,uniqueid7127
1059,True,uniqueid7128
1060,False,uniqueid7129
1061,False,uniqueid7130
1062,False,uniqueid7131
1063,False,uniqueid7132
1064,False,uniqueid7133
1065,False,uniqueid7134
1066,False,uniqueid7135
1067,True,uniqueid7136
1068,True,uniqueid7137
1069,False,uniqueid7138
1070,False,uniqueid7139
1071,False,uniqueid7140
1072,False,uniqueid7141
1073,False,uniqueid7142
1074,False,uniqueid7143
1075,True,uniqueid7144
1076,False,uniqueid7145
1077,False,uniqueid7146
1078,True,uniqueid7147
1079,False,uniqueid7148
1080,False,uniqueid7149
1081,False,uniqueid7150
1082,False,uniqueid7151
1083,False,uniqueid7152
1084,False,uniqueid7153
1085,False,uniqueid7154
1086,False,uniqueid7155
1087,False,uniqueid7156
1088,False,uniqueid7157
1089,True,uniqueid7158
1090,True,uniqueid7159
1091,False,uniqueid7160
1092,True,uniqueid7161
1093,True,uniqueid7162
1094,False,uniqueid7163
1095,False,uniqueid7164
1096,False,uniqueid7165
1097,False,uniqueid7166
1098,False,uniqueid7167
1099,False,uniqueid7168
1100,False,uniqueid7169
1101,True,uniqueid7170
1102,True,uniqueid7171
1103,True,uniqueid7172
1104,False,uniqueid7173
1105,False,uniqueid7174
1106,True,uniqueid7175
1107,False,uniqueid7176
1108,False,uniqueid7177
1109,False,uniqueid7178
1110,False,uniqueid7179
1111,False,uniqueid7180
1112,False,uniqueid7181
1113,False,uniqueid7182
1114,False,uniqueid7183
1115,False,uniqueid7184
1116,False,uniqueid7185
1117,False,uniqueid7186
1118,False,uniqueid7187
1119,False,uniqueid7188
1120,False,uniqueid7189
1121,False,uniqueid7190
1122,False,uniqueid7191
1123,True,uniqueid7192
1124,False,uniqueid7193
1125,False,uniqueid7194
1126,False,uniqueid7195
1127,False,uniqueid7196
1128,False,uniqueid7197
1129,False,uniqueid7198
1130,False,uniqueid7199
1131,True,uniqueid7200
1132,False,uniqueid7201
1133,False,uniqueid7202
1134,False,uniqueid7203
1135,True,uniqueid7204
1136,False,uniqueid7205
1137,False,uniqueid7206
1138,False,uniqueid7207
1139,False,uniqueid7208
1140,False,uniqueid7209
1141,False,uniqueid7210
1142,False,uniqueid7211
1143,False,uniqueid7212
1144,False,uniqueid7213
1145,False,uniqueid7214
1146,False,uniqueid7215
1147,False,uniqueid7216
1148,False,uniqueid7217
1149,False,uniqueid7218
1150,False,uniqueid7219
1151,False,uniqueid7220
